#{"t_start": 1780583995.800923, "env_id": "None"}
r,l,t
622.235238,835,2935.68348
137.75377,350,2939.775137
147.899984,319,2943.261169
962.336447,1000,2955.250497
61.319002,201,2957.715883
-25.283568,131,2959.208928
19.884105,161,2961.18041
729.914738,1000,2972.204927
653.570661,832,2982.162433
-10.526881,118,2983.500447
19.989422,163,2985.4648
-33.504086,92,2986.544213
567.27274,795,2995.755
55.572676,214,2998.24559
722.546732,1000,3009.970377
60.789017,214,3012.326384
81.955453,217,3014.650499
148.835268,278,3018.087775
360.473825,475,3024.048129
25.183506,148,3025.887596
58.161498,232,3028.859626
-36.538452,87,3029.969078
69.827442,189,3032.099092
935.546277,1000,3043.347687
102.828768,281,3046.615945
44.092441,188,3048.708265
789.767815,1000,3060.74379
869.776819,999,3072.118433
65.26576,203,3075.026318
389.207569,567,3082.076097
-33.418429,96,3083.232696
935.156236,1000,3094.613216
-17.176368,111,3096.079112
252.456976,447,3102.129558
925.762099,1000,3112.797014
847.866232,1000,3124.144976
936.699157,1000,3135.706428
65.94726,201,3137.920963
513.793866,664,3145.73091
548.385147,702,3154.333589
280.798755,515,3160.271499
-8.506076,120,3161.698921
134.760404,294,3165.641146
27.141077,148,3167.483412
134.008573,291,3171.406016
467.228758,682,3179.981914
431.993792,642,3187.547927
279.669627,518,3194.512902
228.77852,484,3200.141373
923.974265,1000,3210.98504
529.107997,724,3219.369282
-27.972513,111,3221.099316
942.678687,1000,3231.687268
84.945803,475,3236.83512
-39.216883,97,3237.984966
473.449452,759,3246.845278
1025.734175,1000,3258.123713
249.059732,643,3265.092292
-26.078038,105,3266.528451
98.047565,275,3269.553941
-0.406325,140,3271.309028
192.757744,363,3275.290309
780.861466,1000,3286.713407
301.083321,485,3292.621141
208.570649,390,3296.983354
270.448,362,3301.253515
10.401668,211,3303.658327
-51.334938,75,3304.494949
-45.939225,82,3305.458408
-10.163892,142,3307.276156
-35.61623,85,3308.473462
726.864171,928,3319.668471
619.687254,894,3329.74773
563.929191,660,3337.123852
-40.893837,85,3338.789347
171.507393,386,3343.463212
91.744562,192,3345.642865
86.455329,222,3348.00423
168.664528,347,3351.947188
661.019193,859,3362.277951
54.570663,193,3364.575004
76.330699,276,3367.637031
248.356217,551,3374.359865
395.498675,675,3382.104192
290.468007,497,3388.2432
31.999904,183,3390.249202
36.934556,207,3392.552269
950.744913,1000,3403.316924
535.098152,764,3412.909157
-32.037074,104,3414.054242
-23.771118,96,3415.349582
474.650318,775,3424.085022
215.759553,390,3428.264945
893.645925,1000,3439.500958
524.246317,743,3447.822924
62.874889,233,3450.420102
907.569089,1000,3462.432612
276.673582,460,3467.581761
59.220912,266,3470.761052
-17.971561,121,3472.213813
19.138212,187,3474.659389
-40.652514,73,3475.574018
334.721985,529,3482.188242
-21.429063,104,3483.429361
110.158229,378,3487.477486
989.229245,1000,3499.166402
-10.71815,184,3501.378735
188.960098,349,3506.025219
961.655259,1000,3516.832076
191.115689,329,3520.601573
288.56613,548,3526.531139
898.776181,1000,3537.786908
54.495612,157,3539.69633
29.634094,166,3541.492325
-14.308477,135,3543.172471
167.17961,320,3546.752159
81.43448,187,3549.253442
106.582083,322,3553.157201
845.851935,1000,3564.106375
464.638433,738,3572.5386
834.025442,1000,3584.321711
956.180352,1000,3595.366154
864.155711,1000,3606.881161
-49.147986,107,3608.03759
452.718318,710,3616.217284
159.876416,306,3619.502549
0.64557,113,3620.842167
-48.014051,90,3622.468152
999.835037,1000,3633.635009
878.032937,1000,3645.008282
-26.684326,122,3646.420998
334.588802,580,3652.870037
918.92455,1000,3664.387959
82.880356,474,3670.060124
427.207158,1000,3680.804899
4.38503,118,3682.148778
-35.767129,117,3683.424947
930.861238,1000,3695.192693
953.404393,1000,3706.269454
17.722014,149,3707.965235
894.033568,997,3719.514827
386.949688,494,3725.512279
-48.486646,71,3726.320403
-10.939144,96,3727.436951
133.642301,290,3731.070312
650.840412,814,3740.426517
94.873225,211,3742.876223
-2.416376,122,3744.363999
163.022076,251,3747.800286
492.756277,762,3756.260934
67.068532,179,3758.337824
64.621812,227,3761.151336
393.460173,669,3769.153014
118.162843,260,3772.064837
-16.989968,108,3773.438521
20.125148,156,3775.369162
316.672806,693,3783.458018
153.162301,310,3786.932901
-42.715238,88,3788.491479
795.66945,957,3799.697058
462.562846,653,3807.498315
147.732996,316,3810.869834
507.597664,733,3820.076039
-39.312033,78,3821.02864
-10.002576,392,3825.289384
896.919009,1000,3837.474953
96.784786,243,3840.398865
-41.270205,82,3841.306544
98.293553,203,3843.637831
-36.463761,98,3844.863863
1039.566515,1000,3856.532934
1005.357546,1000,3867.869934
818.247032,1000,3878.744257
793.262824,986,3891.19004
530.820247,762,3899.848364
-49.060516,76,3900.779476
427.17497,634,3908.559065
935.985225,1000,3919.433808
67.04582,203,3921.765215
130.952808,293,3924.946338
237.80556,413,3929.512562
600.597095,749,3938.703305
734.100628,1000,3949.945118
926.265296,1000,3961.360111
38.039403,169,3963.387894
-24.999848,98,3964.604861
-42.088837,84,3965.577169
138.590307,352,3970.117249
122.628834,219,3972.899975
-38.245243,99,3973.988873
874.589348,1000,3985.412956
65.668233,194,3987.590857
168.347412,341,3991.575242
-12.576906,134,3993.325865
63.934126,235,3995.991907
590.700445,1000,4007.757906
982.411998,1000,4018.963584
876.350024,1000,4030.882222
243.685546,409,4035.293742
-60.266741,64,4036.327213
63.649229,220,4039.435081
82.653854,176,4041.441536
84.592814,216,4044.331539
-21.787612,90,4045.466173
92.983392,217,4048.230603
494.776051,675,4056.136294
163.681289,329,4060.777389
272.087823,554,4067.231152
154.838595,290,4070.503458
103.685938,294,4073.948486
-21.724185,101,4075.244132
423.749034,637,4083.148717
968.266185,1000,4094.604924
84.438992,211,4096.957671
309.806471,470,4103.544274
163.194477,221,4105.903349
216.096687,628,4112.789779
13.000225,178,4114.948399
88.440318,182,4117.118058
54.235511,198,4119.492538
-0.371956,120,4120.985114
-14.887018,117,4122.370362
885.672497,1000,4133.886142
14.775896,176,4135.919086
929.534508,1000,4147.949059
69.007879,198,4151.318289
786.425347,1000,4162.85724
248.980337,422,4167.419887
606.912692,979,4178.606086
932.50294,1000,4190.15519
46.12879,161,4192.147301
246.154149,464,4197.844934
-25.937045,89,4198.94123
59.723235,227,4201.401731
-49.104391,80,4202.30122
105.866351,300,4205.62336
490.433428,709,4213.854936
