#{"t_start": 1779607121.6445966, "env_id": "None"}
r,l,t
9.661613,1000,1693.870751
-171.067558,292,1696.435184
-193.114095,216,1698.391884
161.785377,1000,1708.066405
-171.215647,250,1710.144008
4.642896,1000,1719.197388
-163.508208,251,1721.47986
16.613445,1000,1731.383636
-204.833374,730,1737.980635
-181.169379,692,1745.516248
2.155161,1000,1754.100987
-11.271254,1000,1762.565989
104.979212,1000,1771.973703
37.187015,1000,1781.050184
148.346597,1000,1790.406427
60.638467,1000,1799.937638
-179.610342,663,1806.31606
8.936398,1000,1815.57181
139.811963,1000,1825.223867
-4.616982,1000,1834.429583
-2.732331,1000,1843.644438
125.164617,1000,1852.79623
11.921578,1000,1862.772444
16.291187,1000,1871.132324
84.656995,1000,1880.816186
1.629905,1000,1889.859551
-292.898415,1000,1898.851451
-153.146929,799,1905.805981
38.110856,1000,1915.355932
123.156251,1000,1924.266966
-11.586532,1000,1933.988989
-31.742014,1000,1942.512372
68.083782,1000,1951.517448
105.442976,1000,1961.391986
-70.268716,1000,1969.96505
12.323239,1000,1979.936205
-99.067847,712,1986.148066
117.940215,1000,1995.565862
107.090799,1000,2004.353587
-135.877761,680,2011.256193
10.496835,1000,2019.669001
135.707682,1000,2028.78423
41.848235,1000,2037.849041
32.591439,1000,2047.389836
69.659139,1000,2055.810594
-122.507107,1000,2065.416639
132.428949,1000,2074.28784
-252.879676,643,2079.848147
-188.203008,99,2080.733228
-184.745621,1000,2089.960382
-226.084562,927,2098.531318
-196.749533,123,2099.714197
-137.848679,413,2104.02993
-89.835001,597,2109.308054
-370.740829,1000,2117.870012
7.315634,1000,2127.739284
65.519258,1000,2136.834773
-154.832868,475,2141.888237
-38.988339,837,2149.40973
-117.266795,905,2157.783048
-45.213057,1000,2167.485962
-169.423564,228,2169.667302
-46.221538,1000,2179.283112
32.205176,1000,2187.986214
217.765486,1000,2197.284553
12.523817,1000,2206.300739
1.986193,1000,2214.774878
166.517246,1000,2224.097169
-36.939148,1000,2232.881802
52.104957,1000,2242.446911
-133.437113,489,2246.863967
40.690887,1000,2256.832935
-142.033223,245,2258.982816
-60.214174,1000,2267.934165
-182.924476,220,2269.967489
-94.87044,465,2274.774581
133.185437,1000,2283.641301
168.44813,1000,2292.979447
67.954565,1000,2301.627397
-37.871574,1000,2311.202209
-68.386441,1000,2319.371518
-33.791351,1000,2328.858805
84.533687,1000,2337.889744
-53.07779,756,2344.352238
60.171165,1000,2353.193249
147.373613,1000,2362.206031
142.823442,1000,2372.50083
166.114458,1000,2381.515647
0.125117,1000,2390.508403
33.999658,1000,2399.6101
63.066901,1000,2409.292361
-50.484145,1000,2418.257665
-3.870382,1000,2427.258261
-210.823457,1000,2436.167847
148.904529,1000,2446.073944
-6.177342,1000,2455.079897
-161.822194,218,2457.053955
56.468819,1000,2466.574148
-226.366972,535,2471.486991
-194.382418,1000,2481.185978
-92.209322,540,2485.956163
-144.869529,740,2492.680758
108.239213,1000,2501.857548
-30.072881,1000,2510.288684
-328.759041,1000,2519.652276
115.753398,1000,2528.082442
122.80994,1000,2537.567659
-90.392494,707,2543.530673
-187.84603,115,2544.57569
-127.674786,473,2548.923857
-119.50954,807,2557.11673
143.552596,1000,2565.971572
46.450409,1000,2575.523616
-163.032066,258,2577.980583
82.97579,1000,2587.065614
-126.537487,410,2591.128473
-53.081325,1000,2600.877578
-252.280595,1000,2609.456946
-138.999193,239,2612.306592
-136.129553,374,2615.589623
-297.257742,1000,2624.897461
33.945193,1000,2634.554828
-136.39248,492,2639.037043
-21.819569,1000,2648.020022
-95.696385,1000,2657.178538
35.249669,1000,2666.354039
-106.780669,1000,2675.795813
-158.632963,174,2677.334266
12.922941,1000,2686.302572
-77.492688,1000,2695.298675
132.28588,1000,2704.562861
32.529411,1000,2714.234872
-4.961978,1000,2722.631861
-15.70738,1000,2732.71286
71.101978,1000,2741.372952
111.285393,1000,2751.205558
-104.283462,853,2758.827838
173.239448,1000,2768.423689
46.918878,1000,2777.149637
-126.391085,423,2781.710399
123.904601,1000,2790.483688
36.303672,1000,2799.090909
53.393978,1000,2808.74685
-81.469994,1000,2818.018436
-178.783403,274,2821.101601
-104.294868,499,2825.469377
-42.7557,680,2831.82061
-158.705443,213,2833.791527
-103.087426,1000,2842.932751
-197.190903,847,2850.401361
-61.52414,637,2856.110395
-45.230972,709,2863.298535
126.420442,1000,2872.043754
-182.281109,164,2873.518531
-135.231456,327,2877.057628
-144.736405,518,2881.628353
145.181696,1000,2890.571855
-88.553521,843,2898.429098
-108.837566,457,2902.310749
-132.441427,405,2905.887145
-171.875084,141,2907.391895
-181.720237,185,2909.089914
39.182349,1000,2918.857309
-12.666106,977,2927.593571
148.45587,1000,2937.371338
-201.580106,220,2939.695735
-227.509716,1000,2948.085666
-100.444056,630,2954.23866
-357.864844,1000,2963.100903
34.762694,1000,2972.620629
-16.595447,783,2979.730704
-94.079536,448,2983.73156
105.618996,1000,2993.294689
-181.015295,332,2996.249285
-85.330392,455,3000.330252
-149.834531,195,3002.128477
190.620027,1000,3011.343999
-76.994482,542,3016.16242
-90.360838,599,3021.290956
-188.258153,102,3022.220461
-87.302353,602,3028.366931
-170.228714,163,3029.831619
-32.971559,1000,3038.838193
-152.626849,264,3041.184699
-154.821024,419,3045.036421
-104.111348,468,3050.049325
11.646838,1000,3059.305557
-8.864667,1000,3068.921582
-151.385741,249,3071.318071
-150.641888,244,3073.518537
-171.06201,313,3076.213366
-114.393868,435,3080.156482
-172.060184,186,3081.869008
66.969546,1000,3091.219319
-125.332935,374,3094.462541
-75.177517,1000,3103.783354
92.976276,1000,3112.230091
-59.329599,622,3118.155464
-118.748873,272,3120.811563
-145.789643,699,3127.754461
-8.854187,1000,3136.171306
-179.540952,274,3138.610794
-44.277211,1000,3147.813846
-37.157202,718,3154.29323
-131.271721,440,3158.26919
183.110282,1000,3167.587888
-50.206207,571,3172.576419
-174.364039,150,3173.938514
-148.332048,324,3176.891592
-126.498886,775,3184.411165
-203.931732,1000,3192.759221
-69.131618,451,3197.909911
52.947146,1000,3206.905652
-89.77825,522,3211.664066
5.772507,1000,3220.896327
-46.490705,852,3228.982304
-153.167381,508,3233.562267
-172.819334,137,3235.618191
-59.70906,686,3241.807695
-86.760076,368,3245.069027
160.847684,1000,3254.38828
-179.280045,952,3262.850306
-47.819002,725,3270.163223
221.437018,1000,3279.974124
-139.139732,1000,3288.825188
-271.341487,488,3293.84925
-185.021052,121,3294.902432
-5.862024,1000,3303.681475
-68.17988,516,3308.280018
-154.06831,270,3311.340735
-169.731179,183,3312.96776
-119.502575,240,3315.29045
201.853086,1000,3324.037949
-164.052542,137,3325.28349
-141.380813,386,3328.749367
-47.28453,1000,3338.378122
84.260815,1000,3347.309336
-164.516191,300,3350.665171
16.108393,1000,3359.395473
-122.879273,223,3361.510324
-192.566865,206,3363.280254
-46.043278,465,3367.880842
-37.166302,900,3376.133744
-125.627788,469,3380.113514
-49.555781,1000,3389.416218
22.493362,1000,3398.598759
-192.794851,152,3399.896512
-200.018266,223,3401.761724
-83.739298,426,3406.220508
-89.91534,1000,3414.994162
-141.936081,356,3418.323491
-89.887687,412,3422.056999
-163.406846,144,3423.357999
-159.122851,211,3425.950094
-270.455369,474,3429.828197
-187.880798,124,3430.983726
-10.674936,1000,3440.040053
-184.387791,315,3443.405262
287.679473,1000,3452.602238
-123.328669,462,3456.493056
220.029113,1000,3465.692418
-187.194163,116,3466.675048
53.847344,1000,3475.234313
135.359226,1000,3484.528468
-183.952652,128,3485.703676
-195.874131,113,3486.7276
-197.710888,339,3489.717513
8.368084,1000,3499.942609
37.190133,1000,3509.092553
-113.940838,638,3514.487754
-182.480773,880,3523.168434
-82.614877,954,3531.498145
-181.414312,115,3532.517252
-108.702197,839,3540.50894
90.665251,1000,3549.009149
-202.367762,135,3550.214027
-192.494366,73,3550.959192
115.095665,1000,3560.53518
-87.791448,609,3565.638912
234.918036,1000,3575.345306
118.073567,1000,3584.36175
-63.533223,1000,3593.317783
-108.073964,321,3596.161684
-145.410096,374,3599.709053
-87.392314,426,3603.507323
-149.12929,421,3607.174292
157.425774,1000,3616.799124
-147.580319,378,3620.15343
-101.160107,413,3623.833585
-129.307637,1000,3633.666495
14.274349,1000,3642.298501
-161.431457,1000,3651.733461
4.9773,1000,3660.276027
-185.745646,94,3661.162169
56.971491,1000,3670.460302
-115.565157,401,3674.063961
32.906401,1000,3682.868967
-13.776991,1000,3692.653217
-160.197091,252,3694.803537
-103.02663,1000,3703.609887
-145.89346,212,3706.053474
-158.416043,209,3707.891022
-188.862174,88,3708.668415
-247.595244,612,3713.852754
51.347147,1000,3722.478609
13.896168,1000,3732.287714
-52.548318,750,3739.380224
-64.5253,598,3745.605298
39.071429,1000,3754.20015
104.333299,1000,3763.305051
34.685741,1000,3772.035884
-156.756117,310,3774.858458
-163.087943,201,3776.597529
-15.87967,896,3785.415235
56.472644,1000,3794.310623
84.276883,1000,3803.8651
-195.163786,878,3811.860833
73.07974,1000,3821.203623
-3.285876,1000,3830.058056
-197.9356,146,3831.315889
17.797276,1000,3841.258126
232.357139,1000,3850.401545
12.481204,1000,3859.558051
-168.949235,162,3861.063675
-270.571459,1000,3870.361753
-90.428753,1000,3879.457096
210.988221,1000,3887.917152
-151.739312,640,3894.381857
22.938316,1000,3903.604877
37.008312,1000,3912.978859
-207.267503,167,3914.461379
-150.610399,335,3917.355658
-185.417268,239,3919.445176
18.713489,1000,3928.701428
-56.29622,1000,3938.424768
52.030055,1000,3946.860554
21.938249,1000,3956.601056
29.800076,1000,3965.30411
-132.516782,260,3967.517068
89.31399,1000,3976.825813
-138.008632,338,3979.898034
-171.364324,153,3981.28706
-181.316207,120,3982.349321
-0.194957,1000,3992.147959
-29.272454,1000,4000.986289
178.985938,1000,4010.796924
-184.825229,116,4011.872624
226.628613,1000,4020.852886
-151.410447,406,4024.453072
79.437453,1000,4033.68081
147.354017,1000,4042.710918
-6.726349,1000,4052.597067
39.172592,1000,4061.21284
-8.496949,1000,4070.6148
-94.04754,942,4079.216085
-164.858973,209,4080.948249
-189.996932,1000,4090.381942
49.956545,1000,4099.132288
-64.109195,485,4104.149186
6.853715,985,4112.832917
-150.315407,235,4114.90775
-41.063873,1000,4124.805755
180.660879,1000,4133.260308
-184.739568,153,4134.522216
95.050681,1000,4144.190383
-40.763589,1000,4152.996113
45.512523,1000,4163.042685
89.286942,1000,4172.263625
-141.528922,574,4178.093769
-121.826286,326,4180.81264
-158.392193,139,4182.070889
-159.151282,139,4183.421311
-309.620828,1000,4191.860919
-88.870302,418,4196.314656
239.039596,1000,4205.159922
-151.357415,340,4208.143189
-164.496097,973,4217.58679
-180.368735,534,4222.538958
-198.503019,613,4228.221262
50.236099,1000,4237.83807
-10.017849,1000,4246.726305
-164.435688,210,4248.551838
-83.03484,1000,4257.908289
-168.890753,423,4261.845295
-229.343704,1000,4270.323143
-237.038413,1000,4279.392408
23.843581,1000,4288.341585
39.933767,1000,4298.002109
-99.030551,1000,4306.485577
63.747364,1000,4316.235771
-126.987049,468,4320.655013
-203.546775,313,4323.639174
-91.174805,1000,4333.058914
-75.651681,581,4338.976686
64.124974,1000,4348.746638
-156.258314,446,4352.735739
-153.59528,262,4355.141634
-173.31409,541,4360.004534
66.812065,1000,4369.162744
-48.077461,942,4377.234682
-144.937439,250,4379.779045
229.90364,1000,4389.798076
-184.443272,130,4391.083924
-196.81097,468,4395.548587
51.744168,1000,4404.747092
-129.430807,305,4408.152055
64.635235,1000,4417.0046
-192.126887,406,4420.603781
-65.672322,858,4428.702698
-67.979287,1000,4437.351498
-24.244287,1000,4447.058299
-155.943325,1000,4455.692874
29.668433,1000,4465.178878
48.200229,1000,4473.645833
-198.618105,161,4475.03325
-123.919567,452,4478.899147
80.246524,1000,4487.917764
86.740527,1000,4496.834721
147.335019,1000,4506.368956
-90.558413,1000,4515.069918
-151.034332,347,4518.975057
-86.003295,1000,4527.880699
-151.166583,439,4532.02775
-38.463403,1000,4541.242208
-59.471709,1000,4549.998473
-155.642477,527,4555.225489
-125.808657,704,4561.769056
-93.884779,547,4566.562302
-112.873337,620,4572.066116
-195.735955,87,4573.540009
-111.054184,880,4581.225526
16.76874,873,4589.379883
-167.308742,214,4591.371866
-130.913552,466,4596.39983
-177.003942,412,4600.120417
-144.567811,292,4602.73886
-203.951556,1000,4612.351746
-146.641663,755,4619.193695
-164.912724,138,4620.439186
-216.177478,640,4625.917272
-193.472966,101,4626.785935
-129.342463,589,4632.293446
65.770462,1000,4640.761645
149.51351,1000,4650.473363
-170.282148,254,4652.666894
87.704693,1000,4661.382458
106.405392,1000,4670.501253
57.752697,1000,4679.43221
56.201438,1000,4688.834638
-179.668722,171,4690.377957
-157.375414,237,4692.625372
46.999049,1000,4701.454695
-209.256988,395,4705.734562
96.660759,1000,4714.876256
-41.080755,1000,4723.933508
15.091773,1000,4732.654727
-36.364452,1000,4741.818932
24.7047,1000,4750.267247
-175.564322,170,4751.802752
-86.53096,697,4757.927577
30.13329,1000,4767.092993
-186.561602,259,4769.611635
-122.209334,548,4774.478937
-4.623609,1000,4783.748527
202.324029,1000,4792.413237
-84.64019,530,4797.565902
-70.496415,1000,4806.744534
-62.933553,472,4811.026638
-172.401471,177,4812.553465
152.498698,1000,4821.785779
-151.109965,218,4823.732981
-175.011392,855,4831.628138
100.90497,1000,4840.836277
-178.957247,126,4841.977693
-168.755321,141,4843.279624
94.43439,1000,4851.890898
1.763215,1000,4861.196748
-177.764557,896,4869.224699
-63.165047,666,4876.004324
-164.81995,451,4879.921675
134.585682,1000,4888.780254
-137.408449,530,4893.948911
-40.588218,796,4901.126707
-128.360666,495,4905.535747
139.360851,1000,4914.772883
-108.618153,832,4922.402772
148.98447,1000,4931.691838
129.026606,1000,4940.415614
138.717818,1000,4950.334483
-132.304773,626,4956.000536
-136.136641,722,4962.321011
2.20307,1000,4971.874281
187.358939,1000,4981.059736
49.606273,1000,4991.130644
43.123931,1000,4999.780785
111.985642,1000,5009.768398
-160.124942,1000,5018.088274
83.462189,1000,5027.852597
80.194614,1000,5036.898413
5.281656,1000,5046.725059
109.426377,1000,5055.884207
-429.833264,914,5065.320647
-207.492136,183,5066.937755
-3.287451,1000,5076.320458
10.656702,1000,5085.276155
-64.028018,1000,5094.143553
-122.743531,1000,5103.873092
113.967698,1000,5112.56866
-190.135546,208,5114.353524
80.544098,1000,5123.467585
-189.918453,404,5126.889509
33.988689,1000,5135.546112
-76.205004,1000,5145.09647
-183.530882,179,5146.846851
54.09208,1000,5156.391276
-13.940344,1000,5164.981958
35.937185,1000,5173.791867
