#{"t_start": 1779607121.6445966, "env_id": "None"}
r,l,t
-58.639886,578,7079.153188
166.282753,1000,7089.36221
212.884085,1000,7097.880835
-145.923995,352,7100.9494
-191.104425,641,7106.768795
43.621558,1000,7115.925304
-233.505465,291,7118.698149
62.534316,1000,7128.035331
-170.616924,570,7133.176533
71.121041,1000,7142.368003
10.776875,1000,7152.032113
1.821717,1000,7160.730358
-281.110262,927,7169.827269
77.996242,1000,7178.668897
-172.047312,645,7185.075955
-160.675558,385,7188.518077
-180.604175,403,7192.19132
174.367728,1000,7202.013099
-82.796404,1000,7210.724235
-100.680537,1000,7219.55562
-159.148575,811,7227.45803
40.871616,1000,7236.164096
-156.885057,300,7239.578352
-43.925936,682,7245.332088
35.176307,1000,7254.017183
-140.990394,683,7260.781687
143.634956,1000,7269.618516
134.416458,1000,7279.076671
39.493649,1000,7288.014163
-74.54053,919,7297.161751
5.847685,1000,7305.723186
121.758972,1000,7314.790699
163.335592,1000,7323.54696
-137.12459,798,7330.79174
210.127992,1000,7340.228886
-242.521009,1000,7349.38218
79.412319,1000,7358.628681
182.346725,1000,7367.180124
-0.896843,910,7376.276125
51.543886,1000,7385.147862
80.699435,1000,7394.412185
-20.0751,1000,7403.337649
158.446772,1000,7412.973374
26.107405,791,7419.885284
-9.915485,1000,7428.963307
-9.202037,1000,7437.414959
-174.553864,118,7438.519018
-58.645876,1000,7447.851269
9.149489,1000,7456.622047
9.182552,1000,7466.091723
-77.448479,456,7470.50388
-46.862641,509,7475.069658
-142.793267,213,7477.056098
224.637672,1000,7486.348406
61.704748,1000,7495.504596
-134.804662,252,7497.831865
192.185704,1000,7507.584846
-216.190783,120,7508.670299
-170.917036,149,7510.176114
255.598077,1000,7519.122056
38.432061,1000,7528.240939
26.079569,1000,7536.793245
88.648466,1000,7546.316661
-129.038651,1000,7554.565991
-142.462208,489,7559.927876
-88.863792,1000,7568.550486
144.744827,1000,7578.088209
84.838498,1000,7586.470499
26.742462,756,7593.312052
-188.32247,84,7594.818842
-54.85292,480,7598.847851
-31.923307,592,7604.021054
-1.285668,1000,7613.64629
-167.81866,158,7615.007354
-17.983017,1000,7623.74394
-0.009818,1000,7632.774688
-275.416699,1000,7641.503987
-219.525935,1000,7651.214082
-420.805636,1000,7659.91288
-46.761722,701,7666.465614
121.201716,1000,7675.681653
-28.745422,1000,7684.482705
-149.33763,535,7690.397172
-194.604098,362,7693.543917
32.657266,1000,7702.503142
-197.662241,96,7703.371617
43.496247,1000,7712.935684
-78.88346,1000,7721.798207
-95.821838,423,7726.246556
53.942017,1000,7735.063885
-130.569015,825,7742.679434
-62.614962,484,7747.515187
-76.581869,1000,7756.050018
41.313495,1000,7765.332707
-191.819276,94,7766.178176
168.919737,1000,7775.416745
176.337289,1000,7784.868164
-190.607063,73,7785.578235
19.586735,1000,7793.944059
-219.650299,813,7802.03263
-146.572461,254,7804.2885
-178.463544,144,7805.620065
-151.237715,185,7807.300101
-148.64055,875,7815.025824
54.474989,1000,7824.547835
-55.323205,1000,7833.29992
-138.71258,215,7835.259982
-124.276144,309,7838.598034
156.356791,1000,7847.431029
-78.544245,1000,7855.799936
-34.044934,564,7861.541491
-219.084242,715,7867.76609
-192.69482,73,7868.452916
7.696076,1000,7877.56112
70.964151,1000,7886.135946
-222.003707,1000,7895.382679
-283.357289,1000,7904.111749
-146.466158,133,7905.360195
205.593717,1000,7914.996257
-162.425688,180,7916.584692
-73.615725,735,7923.321267
-2.55631,1000,7932.175429
-38.20221,1000,7940.832912
200.520215,1000,7950.837085
34.200262,1000,7959.723969
157.577543,1000,7968.997818
-37.362161,1000,7977.40702
-158.098004,340,7980.67399
123.031048,1000,7989.691217
-45.583931,1000,7998.228677
96.473211,920,8006.918814
-450.572461,1000,8015.955025
-175.708734,127,8017.105647
-148.983286,175,8018.625992
205.410477,1000,8027.21968
-159.268723,383,8030.471117
-149.082058,241,8032.719761
61.879111,1000,8042.399677
-220.213739,346,8045.32867
-157.062169,117,8046.331882
197.733118,1000,8054.962952
-184.350014,70,8055.629001
-102.18711,383,8059.107025
-174.837661,118,8060.676271
-479.159521,1000,8069.738757
51.414222,1000,8079.086307
1.45909,1000,8087.583861
-140.75958,268,8089.797714
112.186552,1000,8099.185669
39.446016,1000,8108.438954
-125.500691,503,8112.867488
90.613967,1000,8122.440348
-85.839604,392,8126.214972
-190.072658,274,8128.664711
270.096697,1000,8138.475247
-62.725741,703,8144.709245
-192.254024,63,8145.273071
-44.850749,918,8153.054441
-182.667756,92,8154.683253
-171.245686,126,8155.81107
-102.443208,1000,8165.010901
-81.376312,462,8169.121573
47.973911,1000,8178.591138
12.807231,833,8185.960991
-20.974736,1000,8195.526309
33.017045,1000,8203.984736
-5.735336,1000,8213.170741
-66.869942,1000,8221.126718
-297.590387,1000,8229.897854
-118.094187,1000,8238.726584
-25.614571,943,8248.755315
-168.709867,139,8250.119168
-106.396588,521,8254.611327
-38.864806,712,8260.73442
-229.723106,381,8264.240622
-190.356918,73,8265.022928
-93.943703,510,8270.252649
-176.876278,204,8272.09848
-384.314144,1000,8281.098801
-123.651142,665,8287.940914
107.387633,922,8296.098261
-134.936421,311,8298.705022
-127.891675,277,8301.27108
-234.550018,918,8309.979155
-167.009934,192,8311.923357
-157.180805,863,8319.375699
